AAC2_PRIME.826_U72743.1_MSU72743_Aminoglycosides_Aminoglycoside_N_acetyltransferases_AAC2_PRIME	1	0	.	.	class:Aminoglycosides; mechanism:Aminoglycoside N-acetyltransferases; group:AAC2-PRIME; Source_Database:Resfinder; Source_Headers:aac(2')-Id_1_U72743
AAC2_PRIME.858_L06156.1_PROAAC2IA_Aminoglycosides_Aminoglycoside_N_acetyltransferases_AAC2_PRIME	1	0	.	.	class:Aminoglycosides; mechanism:Aminoglycoside N-acetyltransferases; group:AAC2-PRIME; Source_Database:Resfinder; Source_Headers:aac(2')-Ia_1_L06156
AAC2_PRIME.859_U41471.1_MFU41471_Aminoglycosides_Aminoglycoside_N_acetyltransferases_AAC2_PRIME	1	0	.	.	class:Aminoglycosides; mechanism:Aminoglycoside N-acetyltransferases; group:AAC2-PRIME; Source_Database:Resfinder; Source_Headers:aac(2')-Ib_1_U41471
AAC2_PRIME.921_U72714.1_MTU72714_Aminoglycosides_Aminoglycoside_N_acetyltransferases_AAC2_PRIME	1	0	.	.	class:Aminoglycosides; mechanism:Aminoglycoside N-acetyltransferases; group:AAC2-PRIME; Source_Database:Resfinder; Source_Headers:aac(2')-Ic_1_U72714
AAC2_PRIME.AGly_Aac2_Ie_NC_011896_3039059_3039607_549_Aminoglycosides_Aminoglycoside_N_acetyltransferases_AAC2_PRIME	1	0	.	.	class:Aminoglycosides; mechanism:Aminoglycoside N-acetyltransferases; group:AAC2-PRIME; Source_Database:Resfinder; Source_Headers:aac(2')-Ie_1_NC_011896
AAC2_PRIME.CARD_phgb_AL123456_314308_314854_ARO_3002525_AAC2_PRIME_Ic_Aminoglycosides_Aminoglycoside_N_acetyltransferases_AAC2_PRIME	1	0	.	.	class:Aminoglycosides; mechanism:Aminoglycoside N-acetyltransferases; group:AAC2-PRIME; Source_Database:NCBI; Source_Headers:gi|984994143|gb|CP010340.1|314755-315301 gi|984989958|gb|CP010339.1|314436-314982 gi|984985728|gb|CP010338.1|314506-315052 gi|984981517|gb|CP010337.1|314501-315047 gi|984976917|gb|CP010336.1|312562-313108 gi|984972452|gb|CP010335.1|313919-314465 gi|984967653|gb|CP010334.1|309336-309882 gi|984963331|gb|CP010333.1|313027-313573 gi|984954355|gb|CP010331.1|312541-313087 gi|984950177|gb|CP010330.1|314307-314853
AAC3.1203_AF318077.1_AF318077_Aminoglycosides_Aminoglycoside_N_acetyltransferases_AAC3	1	0	.	.	class:Aminoglycosides; mechanism:Aminoglycoside N-acetyltransferases; group:AAC3; Source_Database:NCBI; Source_Headers:gi|295984001|gb|HM021184.1|2023-2487 gi|19919175|gb|AF347074.1|2576-3040 gi|13094933|gb|AF318077.1|2035-2499
AAC3.503_FJ848785.1_FJ848785_Aminoglycosides_Aminoglycoside_N_acetyltransferases_AAC3	1	0	.	.	class:Aminoglycosides; mechanism:Aminoglycoside N-acetyltransferases; group:AAC3; Source_Database:NCBI; Source_Headers:gi|975048878|gb|CP013962.1|318833-319693 gi|971493847|gb|CP010351.1|285748-286608 gi|943457735|gb|KT818627.1|82130-82990 gi|943457735|gb|KT818627.1|143721-144581 gi|928083869|gb|CP012682.1|23040-22180 gi|926473560|gb|CP012626.1|106956-106096 gi|909636483|emb|LN850163.1|64828-65688 gi|834762928|gb|CP006642.1|54938-54078 gi|825089575|gb|KP899804.1|15903-15043 gi|821436432|gb|EU418931.1|7932-8792 gi|808175404|emb|LN833432.1|39539-40399
AAC3.577_M97172.1_SMAAAC3VB_Aminoglycosides_Aminoglycoside_N_acetyltransferases_AAC3	1	0	.	.	class:Aminoglycosides; mechanism:Aminoglycoside N-acetyltransferases; group:AAC3; Source_Database:Resfinder; Source_Headers:aac(3)-IIb_1_M97172
AAC3.651_X01385.1_X01385_Aminoglycosides_Aminoglycoside_N_acetyltransferases_AAC3	1	0	.	.	class:Aminoglycosides; mechanism:Aminoglycoside N-acetyltransferases; group:AAC3; Source_Database:Resfinder; Source_Headers:aac(3)-IVa_1_X01385
